segment,dist_start_m,dist_end_m,length_m,center_frac,baseline_speed_kph,baseline_grade_pct,baseline_curvature_1_m,baseline_current_mA,baseline_power_w,baseline_energy_j,baseline_time_s,target_speed_kph,entry_speed_kph,speed_delta_kph,action,accel_demand_m_s2,segment_time_s,pred_current_mA,pred_avg_current_mA,pred_power_w,pred_peak_current_mA,pred_on_current_mA,throttle_duty,throttle_level,pulse_duration_s,coast_duration_s,coast_speed_drop_kph,pred_energy_j,cum_pred_energy_j,cum_pred_time_s,over_fuse_limit,fuse_limit_mA,current_penalty,fuse_over_duration_s,time_budget_sec
1,0.0,19.964157214949644,19.964157214949644,0.025,23.956988657939572,0.0,0.0007731741340582673,0.0,0.0,0.0,3.0000000000000004,26.0,24.0,2.0,accelerate,0.19324756110761573,2.8748386389527485,11435.294099680297,11435.294099680297,259.6612231214405,14505.0,14505.0,0.5678456099937084,0.5678456099937084,0.8,1.2423741383831426,0.0,746.4841172672479,746.4841172672479,2.8748386389527485,False,20000.0,0.0,0.0,60.0
2,19.964157214949644,39.92831442989929,19.964157214949644,0.07500000000000001,23.956988657939572,0.0,0.010397254018030103,0.0,0.0,0.0,3.0000000000000004,26.0,26.0,0.0,hold,0.0,2.764267922069951,3939.6103241728547,3939.6103241728547,89.45673163099302,14505.0,14505.0,0.24841721693734273,0.24841721693734273,0.6866917440697886,2.0775761780001623,0.0,247.2823736607743,993.7664909280222,5.639106561022699,False,20000.0,0.0,0.0,60.0
3,39.92831442989929,59.89247164484893,19.964157214949644,0.125,23.956988657939572,0.0,0.02007310012410904,0.0,0.0,0.0,3.0000000000000004,26.0,26.0,0.0,hold,0.0,2.764267922069951,3939.6103241728547,3939.6103241728547,89.45673163099302,14505.0,14505.0,0.24841721693734273,0.24841721693734273,0.6866917440697886,2.0775761780001623,0.0,247.2823736607743,1241.0488645887965,8.40337448309265,False,20000.0,0.0,0.0,60.0
4,59.89247164484893,79.85662885979858,19.964157214949644,0.17500000000000002,23.956988657939572,0.0,0.03485193937883884,0.0,0.0,0.0,3.0000000000000004,24.0,26.0,-2.0,coast,-0.19324756110761573,2.8748386389527485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8748386389527485,2.0,0.0,1241.0488645887965,11.278213122045399,False,20000.0,0.0,0.0,60.0
5,79.85662885979858,99.82078607474821,19.964157214949637,0.225,23.956988657939572,0.0,0.03496265117171706,0.0,0.0,0.0,2.999999999999999,22.0,24.0,-2.0,coast,-0.17778775621900617,3.124824607557335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.124824607557335,2.0,0.0,1241.0488645887965,14.403037729602733,False,20000.0,0.0,0.0,60.0
6,99.82078607474821,119.78494328969786,19.96415721494965,0.27499999999999997,23.956988657939572,0.0,0.027978534106053835,0.0,0.0,0.0,3.0000000000000013,20.0,22.0,-2.0,coast,-0.16232795133039696,3.4224269511342262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4224269511342262,2.0,0.0,1241.0488645887965,17.82546468073696,False,20000.0,0.0,0.0,60.0
7,119.78494328969786,139.74910050464752,19.96415721494965,0.32500000000000007,23.956988657939572,0.0,0.02333224233904214,0.0,0.0,0.0,3.0000000000000013,21.0,20.0,1.0,hold,0.07923150005412222,3.5059007792106702,5412.47836847316,5412.47836847316,122.90114631292006,14505.0,14505.0,0.18679955071343016,0.18679955071343016,0.6549006904024179,2.8510000888082523,0.0,430.879224624351,1671.9280892131476,21.33136545994763,False,20000.0,0.0,0.0,60.0
8,139.74910050464752,159.71325771959715,19.964157214949637,0.37500000000000006,23.956988657939572,0.0,0.017108028565133403,0.0,0.0,0.0,2.999999999999999,23.0,21.0,2.0,accelerate,0.1700578537747018,3.266862089719032,9147.67336332765,9147.67336332765,207.716219061081,14505.0,14505.0,0.5261041367944632,0.5261041367944632,0.8,1.5481524299808445,0.0,678.5802414704193,2350.508330683567,24.59822754966666,False,20000.0,0.0,0.0,60.0
9,159.71325771959715,179.6774149345468,19.964157214949637,0.42500000000000004,23.956988657939572,0.0,0.001551198100074498,0.0,0.0,0.0,2.999999999999999,26.0,23.0,3.0,accelerate,0.284073914828195,2.933508815257906,14958.265474168791,14958.265474168791,339.6573341219507,14505.0,14505.0,0.7313330466907509,0.7313330466907509,0.8,0.7881368759011663,0.0,996.3877838137423,3346.896114497309,27.531736364924566,False,20000.0,0.0,0.0,60.0
10,179.6774149345468,199.64157214949643,19.964157214949637,0.47500000000000003,23.956988657939572,0.0,0.0010146740301104364,0.0,0.0,0.0,2.999999999999999,28.0,26.0,2.0,accelerate,0.20870736599622472,2.6618876286599518,13114.97124325429,13114.97124325429,297.80165202057515,14505.0,14505.0,0.5956732587932045,0.5956732587932045,0.8,1.0762723503547629,0.0,792.7145333080649,4139.610647805374,30.193623993584517,False,20000.0,0.0,0.0,60.0
11,199.64157214949643,219.6057293644461,19.964157214949665,0.525,23.956988657939572,0.0,0.002928239669224426,0.0,0.0,0.0,3.0000000000000036,29.0,28.0,1.0,hold,0.11015110983134084,2.5217882797831157,9403.793307415013,9403.793307415013,213.53193463147272,14505.0,14505.0,0.28119429384300504,0.28119429384300504,0.7091124745551797,1.8126758052279361,0.0,538.4823301130623,4678.092977918437,32.71541227336763,False,20000.0,0.0,0.0,60.0
12,219.6057293644461,239.56988657939573,19.964157214949637,0.5750000000000001,23.956988657939572,0.0,0.006429140373123367,0.0,0.0,0.0,2.999999999999999,29.0,29.0,0.0,hold,0.0,2.4783091715109893,4638.268199371251,4638.268199371251,105.32115600312301,14505.0,14505.0,0.29346642677797313,0.29346642677797313,0.727300537014409,1.75100863449658,0.0,261.0183868766794,4939.111364795117,35.19372144487862,False,20000.0,0.0,0.0,60.0
13,239.56988657939573,259.5340437943454,19.964157214949665,0.6250000000000001,23.956988657939572,0.0,0.02156432673876996,0.0,0.0,0.0,3.0000000000000036,27.0,29.0,-2.0,coast,-0.21643726844052913,2.5668202133506712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5668202133506712,2.0,0.0,4939.111364795117,37.76054165822929,False,20000.0,0.0,0.0,60.0
14,259.5340437943454,279.49820100929503,19.964157214949637,0.675,23.956988657939572,0.0,0.029294705393273696,0.0,0.0,0.0,2.999999999999999,25.0,27.0,-2.0,coast,-0.20097746355192017,2.7642679220699495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7642679220699495,2.0,0.0,4939.111364795117,40.52480958029924,False,20000.0,0.0,0.0,60.0
15,279.49820100929503,299.46235822424467,19.964157214949637,0.7250000000000001,23.956988657939572,0.0,0.03098646516149846,0.0,0.0,0.0,2.999999999999999,23.0,25.0,-2.0,coast,-0.18551765866331107,2.9946235822424456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9946235822424456,2.0,0.0,4939.111364795117,43.51943316254169,False,20000.0,0.0,0.0,60.0
16,299.46235822424467,319.4265154391943,19.964157214949637,0.775,23.956988657939572,0.0,0.027542369009680157,0.0,0.0,0.0,2.999999999999999,21.0,23.0,-2.0,coast,-0.1700578537747018,3.266862089719032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.266862089719032,2.0,0.0,4939.111364795117,46.78629525226072,False,20000.0,0.0,0.0,60.0
17,319.4265154391943,339.39067265414394,19.964157214949637,0.8250000000000001,23.956988657939572,0.0,0.027797945308596778,0.0,0.0,0.0,2.999999999999999,22.0,21.0,1.0,hold,0.08309645127627481,3.342835626689242,5845.321836816201,5845.321836816201,132.72972294858548,14505.0,14505.0,0.19539399190585977,0.19539399190585977,0.6531699973839373,2.689665629305304,0.0,443.6936465931242,5382.805011388241,50.129130878949965,False,20000.0,0.0,0.0,60.0
18,339.39067265414394,359.3548298690936,19.964157214949637,0.875,23.956988657939572,0.0,0.01388732787243683,0.0,0.0,0.0,2.999999999999999,23.0,22.0,1.0,hold,0.086961402498427,3.194265154391942,6296.430573336551,6296.430573336551,142.97304902875305,14505.0,14505.0,0.20490411929793717,0.20490411929793717,0.6545180882647702,2.539747066127172,0.0,456.69382852971654,5839.498839917957,53.32339603334191,False,20000.0,0.0,0.0,60.0
19,359.3548298690936,379.3189870840432,19.964157214949637,0.925,23.956988657939572,0.0,0.0016271152080972902,0.0,0.0,0.0,2.999999999999999,24.0,23.0,1.0,hold,0.09082635372057918,3.0583389776093064,6766.110643806232,6766.110643806232,153.6380743889081,14505.0,14505.0,0.21532993288966235,0.21532993288966235,0.6585519268024504,2.399787050806856,0.0,469.8773113484358,6309.376151266393,56.38173501095122,False,20000.0,0.0,0.0,60.0
20,379.3189870840432,399.28314429899285,19.964157214949637,0.975,23.956988657939572,0.0,0.0007106882497674522,0.0,0.0,0.0,2.999999999999999,24.0,24.0,0.0,hold,0.0,2.9946235822424456,3514.1370673553183,3514.1370673553183,79.79551038843722,14505.0,14505.0,0.22315783891801666,0.22315783891801666,0.6682737269861537,2.326349855256292,0.0,238.95751716628615,6548.33366843268,59.376358593193665,False,20000.0,0.0,0.0,60.0
