distance_m,lat,lon,x,y,curvature_1_m,segment,target_speed_kph,action,pred_current_mA,pred_peak_current_mA,pred_power_w,throttle_duty
0.0,46.372062414,-70.942271502,26.821706345769286,-24.57642349191245,0.0007731741340582673,1,29.0,accelerate,25048.63744449383,19490.948,608.4063548893107,1.0
4.993207775181062,46.372089845,-70.942219974,30.77499318726381,-21.526235459184818,0.0007731741340582673,1,29.0,accelerate,25048.63744449383,19490.948,608.4063548893107,1.0
9.98646711862715,46.372117143,-70.942168297,34.7397114785717,-18.49083635173942,0.0006398610978259191,1,29.0,accelerate,25048.63744449383,19490.948,608.4063548893107,1.0
14.979718933349556,46.372144346,-70.942116515,38.71248548930526,-15.466000762014156,0.0006398610978259191,1,29.0,accelerate,25048.63744449383,19490.948,608.4063548893107,1.0
19.972958371189787,46.372171416,-70.942064587,42.69646078559895,-12.455954097571126,0.001920859773829624,2,27.5,coast,0.0,0.0,0.0,0.0
24.966093439918843,46.372198658,-70.94201285,46.665782345617345,-9.426781905742956,0.0062661368745364435,2,27.5,coast,0.0,0.0,0.0,0.0
29.95886563278646,46.372227041,-70.941962424,50.534522492215814,-6.270736302781971,0.009964101124206204,2,27.5,coast,0.0,0.0,0.0,0.0
34.95130941347363,46.372257307,-70.941914359,54.2221240300474,-2.905310653402069,0.011696712699501805,2,27.5,coast,0.0,0.0,0.0,0.0
39.94400128637456,46.372289373,-70.941868807,57.71692534504551,0.6602658646968479,0.014456929045323334,3,26.0,coast,0.0,0.0,0.0,0.0
44.935741418499894,46.372323459,-70.941826467,60.96529836354705,4.450456134240299,0.01836520393246932,3,26.0,coast,0.0,0.0,0.0,0.0
49.92649028684979,46.372360269,-70.941789247,63.8208591503706,8.543541383742372,0.019978685475525376,3,26.0,coast,0.0,0.0,0.0,0.0
54.91783501099989,46.37239949,-70.941757604,66.24854614625974,12.904717601839018,0.020356344069860022,3,26.0,coast,0.0,0.0,0.0,0.0
59.90884494336786,46.372440642,-70.941731629,68.24137772727607,17.480611223275133,0.0229458584951501,4,24.5,coast,0.0,0.0,0.0,0.0
64.89895920386849,46.372483517,-70.941712418,69.71526752593977,22.248093702975165,0.028613126598853497,4,24.5,coast,0.0,0.0,0.0,0.0
69.88665836124784,46.372527795,-70.94170202,70.51301392750769,27.17158266541919,0.03485193937883884,4,24.5,coast,0.0,0.0,0.0,0.0
74.87166369815483,46.372572616,-70.941703408,70.406524986727,32.15545047210132,0.03485193937883884,4,24.5,coast,0.0,0.0,0.0,0.0
79.85832298171601,46.372616435,-70.941717239,69.34539491530626,37.027900962547946,0.02878054954638533,5,23.0,coast,0.0,0.0,0.0,0.0
84.84911126817585,46.372658469,-70.941740047,67.5955391811616,41.70186850949837,0.025018791159265943,5,23.0,coast,0.0,0.0,0.0,0.0
89.84064887289064,46.372698847,-70.941768475,65.41451064602228,46.19169725770134,0.025018791159265943,5,23.0,coast,0.0,0.0,0.0,0.0
94.82963022530635,46.372736713,-70.941803356,62.7384006033169,50.402204349974554,0.03496265117171706,5,23.0,coast,0.0,0.0,0.0,0.0
99.81359666996008,46.372769702,-70.941847334,59.36435835937633,54.07041378477226,0.037479322348655975,5,23.0,coast,0.0,0.0,0.0,0.0
104.79515757674156,46.372794924,-70.941900997,55.24727188628907,56.87497222436582,0.037479322348655975,6,21.5,coast,0.0,0.0,0.0,0.0
109.78288856339906,46.372812185,-70.941961002,50.6436199513873,58.79430785357155,0.02481160469185312,6,21.5,coast,0.0,0.0,0.0,0.0
114.77498898105327,46.372824652,-70.942023511,45.84785828423123,60.180575003791795,0.021993130831862367,6,21.5,coast,0.0,0.0,0.0,0.0
119.76705239067347,46.372834298,-70.942087059,40.972383354052546,61.253161266461596,0.021993130831862367,6,21.5,coast,0.0,0.0,0.0,0.0
124.75558140735508,46.372839068,-70.942151712,36.01213156581485,61.783561066196725,0.02333224233904214,7,20.0,coast,0.0,0.0,0.0,0.0
129.74460430829922,46.372836928,-70.942216666,31.028786714787458,61.54560392324088,0.02333224233904214,7,20.0,coast,0.0,0.0,0.0,0.0
134.7363452384564,46.372829908,-70.942280929,26.098456169352048,60.76501553839709,0.02333224233904214,7,20.0,coast,0.0,0.0,0.0,0.0
139.72692179683213,46.372818804,-70.942343955,21.263029674229024,59.53030707269696,0.022004568167619434,7,20.0,coast,0.0,0.0,0.0,0.0
144.71602287904477,46.372802082,-70.942404299,16.633369272475793,57.67090550956613,0.022004568167619434,8,18.5,coast,0.0,0.0,0.0,0.0
149.70755630586078,46.372780544,-70.942461382,12.253896504695552,55.27598917965131,0.015475848697638059,8,18.5,coast,0.0,0.0,0.0,0.0
154.70013460580634,46.372756276,-70.942516132,8.053414154707566,52.577510699372716,0.009992485560766545,8,18.5,coast,0.0,0.0,0.0,0.0
159.69300931717052,46.372730175,-70.942569086,3.9907229683705667,49.67521191946744,0.006003244934612123,8,18.5,coast,0.0,0.0,0.0,0.0
164.6861874573955,46.372702974,-70.942620869,0.017872237309538644,46.65059871961387,0.0025579016163255943,9,23.5,accelerate,18525.674022472856,19490.948,449.97009633184325,0.9504757809867871
169.67943517374673,46.372675423,-70.942672263,-3.925133972366946,43.58706729537494,0.0005225269069800693,9,23.5,accelerate,18525.674022472856,19490.948,449.97009633184325,0.9504757809867871
174.67266529968174,46.372647835,-70.942723615,-7.8649178934009445,40.519421659694885,0.0005225269069800693,9,23.5,accelerate,18525.674022472856,19490.948,449.97009633184325,0.9504757809867871
179.66592193589415,46.372620331,-70.942775062,-11.811990321863727,37.461116397045615,0.0012156302613241326,9,23.5,accelerate,18525.674022472856,19490.948,449.97009633184325,0.9504757809867871
184.65913923062095,46.372593067,-70.942826776,-15.779547295815659,34.42949791662886,0.0012156302613241326,10,28.5,accelerate,24193.62624407829,19490.948,587.6389878424176,1.0
189.65232384152733,46.372566105,-70.942878821,-19.772498965277123,31.43146030446699,0.000947688619705871,10,28.5,accelerate,24193.62624407829,19490.948,587.6389878424176,1.0
194.64563100835625,46.372539312,-70.942931051,-23.779644046868526,28.452214635277773,0.0004776528421646135,10,28.5,accelerate,24193.62624407829,19490.948,587.6389878424176,1.0
199.63881633406658,46.372512558,-70.942983321,-27.789857973176655,25.477305567401377,0.0004776528421646135,10,28.5,accelerate,24193.62624407829,19490.948,587.6389878424176,1.0
204.63206760965093,46.372485751,-70.943035535,-31.795775516445257,22.496503169110326,0.0016729722463697631,11,30.5,accelerate,14390.22395620483,19490.948,349.52414967225917,0.6304578197925749
209.62532178256149,46.372458668,-70.943087449,-35.77867671725164,19.485010970896358,0.002928239669224426,11,30.5,accelerate,14390.22395620483,19490.948,349.52414967225917,0.6304578197925749
214.61850118881767,46.372430995,-70.943138704,-39.71101868802137,16.40791376606453,0.002928239669224426,11,30.5,accelerate,14390.22395620483,19490.948,349.52414967225917,0.6304578197925749
219.61167215294648,46.372402703,-70.943189244,-43.58850504353438,13.261986901080297,0.0024403111711544015,12,29.0,coast,0.0,0.0,0.0,0.0
224.60490965583386,46.37237401,-70.943239308,-47.42947213830519,10.071470871167755,0.0024403111711544015,12,29.0,coast,0.0,0.0,0.0,0.0
