timestamp_ms,current_mA,voltage_mV,ax_x100,ay_x100,az_x100,amag_x100
20974,-5,24288,-7,-973,37,974
21539,-3,24288,-11,-980,27,981
22104,-1,24288,3,-974,35,974
22670,-2,24288,-23,-982,45,983
23240,-2,24288,-6,-981,47,983
23805,0,24288,-2,-978,40,979
24370,1,24288,-5,-978,42,979
24935,2,24288,-2,-977,42,978
25505,-9,24288,-7,-979,45,980
26070,-6,24288,0,-977,39,978
26635,-1,24288,-6,-977,30,977
27201,1,24288,2,-976,37,977
27771,0,24288,-6,-977,45,978
28336,-6,24288,-1,-977,40,978
28901,0,24288,-5,-977,42,978
29468,-4,24288,-19,-975,62,978
30038,1,24288,-21,-967,36,968
30603,-4,24288,-11,-977,35,977
31168,0,24288,-45,-986,98,992
31733,-1,24288,-4,-977,43,978
32303,-1,24288,-28,-978,53,980
32868,4,24288,-24,-977,84,981
33433,-1,24288,15,-973,18,973
33998,2,24288,-26,-970,49,971
34568,-1,24288,3,-977,33,978
35133,6,24288,20,-974,37,975
35698,2,24288,-103,-977,121,990
36263,-9,24288,-75,-966,77,972
36833,-11,24288,142,-915,-43,927
37398,-6,24288,49,-980,22,981
37963,-7,24288,-34,-1013,46,1014
38528,-9,24288,1,-979,19,979
39100,-6,24288,-12,-974,44,975
39665,-10,24288,-23,-974,34,975
40230,-11,24288,-16,-988,81,991
40795,-6,24288,41,-982,26,983
41365,-11,24288,-9,-972,62,974
41930,-7,24288,-4,-972,27,972
42495,-10,24288,-9,-976,33,977
43060,-5,24288,-15,-977,37,977
43630,-8,24288,-14,-979,35,979
44195,-11,24288,-9,-976,47,977
44760,-1,24288,-10,-976,44,977
45325,-3,24288,-7,-977,48,978
45895,-2,24288,-11,-977,43,978
46460,0,24288,-10,-978,42,979
47025,6,24288,-10,-977,42,978
47590,-2,24288,-12,-977,45,978
48160,2,24288,-7,-975,44,976
48727,5,24288,-13,-978,40,979
49292,7,24288,-10,-977,42,978
49857,6,24288,-8,-976,41,977
50427,3,24288,-8,-979,41,980
50992,5,24288,-12,-975,44,977
51557,8,24288,-8,-976,38,977
52122,10,24288,-9,-978,40,979
52692,4,24288,-9,-977,43,978
53257,0,24288,-9,-976,44,977
53822,-2,24288,-5,-976,50,977
54387,-1,24288,-8,-977,40,978
54957,3,24288,-5,-978,48,980
55522,7,24288,-6,-977,52,978
56087,8,24288,-9,-977,38,978
56652,8,24288,-7,-977,46,978
57222,12,24288,-8,-977,44,978
57787,18,24288,-6,-976,42,977
58354,12,24288,-5,-980,47,981
58919,10,24288,-9,-977,43,978
59489,11,24288,-8,-979,42,980
60054,7,24288,-5,-976,44,977
60619,4,24288,-17,-976,44,977
61184,2,24288,-10,-978,50,980
61754,0,24288,-12,-977,49,979
62319,4,24288,-4,-975,33,975
62884,3,24288,-11,-978,42,979
63449,8,24288,-8,-976,43,977
64019,7,24288,-2,-976,38,977
64584,7,24288,0,-973,45,974
65149,6,24288,-6,-974,56,975
65714,4,24288,-10,-978,61,980
66284,1,24288,-14,-982,43,984
66849,8,24288,4,-971,25,971
67414,6,24288,-9,-978,28,979
67979,9,24288,-1,-981,21,981
68551,11,24288,-6,-971,34,971
69116,14,24288,-6,-977,36,978
69681,14,24288,-3,-974,46,975
70246,4,24288,0,-977,53,978
70816,12,24288,2,-981,40,982
71381,1,24288,-32,-974,42,976
71946,6,24288,-51,-990,54,992
72511,2,24288,57,-979,105,987
73081,5,24288,62,-971,43,974
73646,13,24288,-78,-986,72,991
74211,10,24288,62,-983,79,988
74776,4,24288,-11,-974,-3,974
75346,4,24288,25,-941,143,952
75911,3,24288,21,-970,130,979
76476,8,24288,-4,-968,75,971
77041,8,24288,-31,-1000,51,1002
77611,14,24288,-43,-967,50,969
78178,14,24288,-58,-987,76,991
78743,19,24288,-5,-966,21,966
79308,15,24288,-12,-984,32,985
79878,11,24288,-8,-987,42,987
80443,5,24288,-2,-978,43,979
81008,10,24288,-5,-975,36,975
81573,15,24288,-27,-982,53,983
82143,13,24288,-9,-976,25,976
82708,17,24288,-43,-979,2,980
83273,13,24288,-63,-975,52,978
83838,11,24288,0,-973,26,974
84408,12,24288,-33,-1030,25,1031
84973,19,24288,-6,-949,14,949
85538,14,24288,5,-968,7,968
86103,11,24288,37,-968,9,968
86673,4,24288,-27,-937,62,940
87238,5,24288,-46,-994,41,996
87805,7,24288,-12,-1111,26,1112
88372,12,24288,-51,-903,45,906
88942,12,24288,2,-1023,16,1023
89507,9,24288,-19,-998,24,999
90072,16,24288,-19,-949,52,950
90637,6,24288,51,-1030,-34,1032
91207,9,24288,-5,-991,62,993
91772,-1,24288,-9,-885,45,886
92337,2,24288,-73,-987,98,995
92902,9,24288,5,-972,36,972
93472,5,24288,6,-1006,40,1007
94037,6,24288,-1,-991,54,993
94602,7,24288,-17,-923,64,925
95167,4,24288,43,-1007,20,1008
95737,1,24288,14,-992,36,992
96302,5,24288,30,-991,28,992
96867,11,24288,113,-946,56,954
97435,6,24288,54,-942,94,949
98005,0,24288,35,-996,114,1003
98570,3,24288,78,-1007,82,1014
99135,-5,24288,33,-1038,70,1041
99700,-13,24288,-36,-960,75,964
100270,-4,24288,105,-922,-26,928
100835,-6,24288,-48,-1042,47,1044
101400,-10,24288,-3,-967,37,968
101966,-3,24288,0,-986,-7,986
102536,0,24288,34,-975,28,976
103101,-4,24288,42,-975,15,976
103666,-9,24288,2,-986,11,986
104231,0,24288,20,-975,-5,975
104801,-5,24288,-13,-979,35,980
105366,-2,24288,11,-984,18,984
105931,-5,24288,19,-983,12,983
