timestamp_ms,current_mA,voltage_mV,ax_x100,ay_x100,az_x100,amag_x100
20878,0,24288,60,-977,63,981
21428,5,24288,59,-980,54,984
21977,4,24288,68,-980,46,983
22526,8,24288,57,-980,55,984
23080,9,24288,59,-979,59,983
23629,6,24288,59,-980,55,984
24178,6,24288,60,-979,56,982
24727,6,24288,61,-980,59,983
25281,-3,24288,56,-981,52,984
25832,5,24288,64,-980,55,983
26381,2,24288,58,-980,57,983
26930,0,24288,55,-977,61,981
27484,4,24288,61,-978,58,982
28033,12,24288,57,-977,56,980
28582,6,24288,61,-980,57,983
29131,8,24288,60,-981,58,985
29687,10,24288,54,-979,56,982
30235,0,24288,54,-982,55,985
30783,-1,24288,53,-981,45,984
31331,4,24288,56,-980,56,983
31884,0,24288,60,-979,57,983
32432,-2,24288,56,-979,56,982
32980,-1,24288,61,-978,58,982
33528,2,24288,57,-979,57,983
34082,0,24288,54,-979,60,982
34630,2,24288,55,-978,60,982
35178,2,24288,54,-980,56,984
35726,3,24288,54,-977,60,980
36279,-1,24288,58,-978,64,982
36827,1,24288,57,-979,55,982
37375,-1,24288,57,-979,56,982
37923,-1,24288,65,-979,58,983
38477,1,24288,56,-979,48,982
39027,-6,24288,65,-979,59,983
39575,-4,24288,61,-980,54,983
40123,-3,24288,56,-980,56,983
40676,8,24288,59,-979,54,982
41224,5,24288,53,-978,62,982
41772,0,24288,56,-979,60,983
42320,-1,24288,57,-979,54,982
42874,-5,24288,57,-980,57,983
43422,-4,24288,59,-979,58,982
43970,-1,24288,60,-980,57,983
44518,0,24288,47,-978,62,981
45071,0,24288,57,-980,51,983
45619,0,24288,53,-982,52,985
46167,3,24288,61,-979,52,982
46715,9,24288,57,-979,55,983
47269,2,24288,57,-980,54,983
47817,-2,24288,57,-978,53,981
48368,6,24288,59,-979,57,982
48917,0,24288,54,-979,52,982
49471,3,24288,63,-979,55,983
50020,3,24288,60,-981,52,984
50569,6,24288,55,-980,56,983
51118,0,24288,57,-983,52,986
51672,6,24288,59,-980,56,984
52221,3,24288,37,-993,53,995
52770,1,24288,61,-981,50,984
53319,1,24288,58,-979,55,982
53873,6,24288,60,-979,55,982
54422,7,24288,61,-978,63,982
54971,-52,24288,57,-977,78,982
55520,-16,24288,53,-978,64,981
56074,15,24288,66,-977,79,982
56623,6,24288,55,-979,59,983
57172,8,24288,57,-980,60,983
57721,14,24288,61,-982,54,986
58277,9,24288,46,-980,65,983
58826,4,24288,46,-978,69,981
59375,7,24288,46,-980,68,984
59924,15,24288,61,-982,58,986
60478,7,24288,41,-980,72,984
61027,8,24288,31,-974,78,978
61576,14,24288,38,-981,67,984
62125,2,24288,39,-985,66,988
62679,3,24288,7,-996,149,1008
63228,15,24288,47,-981,66,984
63777,3,24288,29,-990,53,992
64326,1,24288,54,-976,54,979
64880,11,24288,57,-976,79,981
65429,13,24288,59,-978,64,982
65978,18,24288,69,-978,62,982
66527,14,24288,63,-983,70,987
67081,9,24288,52,-978,56,981
67632,12,24288,48,-973,90,978
68181,12,24288,52,-979,46,982
68730,14,24288,51,-980,47,982
69284,10,24288,45,-979,54,982
69833,10,24288,76,-971,26,974
70382,10,24288,55,-979,44,982
70931,5,24288,53,-979,45,982
71485,4,24288,54,-981,48,984
72034,0,24288,27,-984,46,985
72583,-4,24288,52,-980,56,983
73132,-2,24288,54,-978,47,981
73686,1,24288,45,-976,34,978
74234,1,24288,42,-984,57,987
74783,3,24288,45,-980,50,983
75332,-1,24288,43,-980,41,982
75886,-5,24288,50,-980,42,983
76435,0,24288,50,-967,41,970
76984,2,24288,46,-980,45,982
77535,-2,24288,47,-980,40,982
78089,0,24288,50,-981,43,983
78638,-7,24288,41,-979,41,981
79187,-9,24288,40,-981,61,983
79736,-3,24288,53,-983,44,986
80290,4,24288,45,-983,43,985
80839,3,24288,47,-980,42,982
81388,-2,24288,46,-981,41,983
81936,2,24288,49,-980,43,982
82490,2,24288,48,-980,39,982
83039,5,24288,48,-977,40,979
83588,7,24288,52,-981,32,983
84137,3,24288,56,-985,17,987
84691,0,24288,52,-978,42,980
85240,2,24288,51,-980,39,982
85789,-2,24288,49,-980,38,982
86337,-6,24288,51,-982,39,984
86893,-5,24288,48,-981,40,983
87442,-3,24288,47,-981,42,983
87991,-5,24288,49,-983,41,985
88540,-7,24288,27,-975,56,977
89094,-5,24288,53,-980,48,983
89643,5,24288,50,-969,45,971
90192,5,24288,88,-957,65,963
