timestamp_ms,current_mA,voltage_mV,ax_x100,ay_x100,az_x100,amag_x100
20957,-2,24288,-3,-984,60,986
21518,-10,24288,18,-973,50,974
22079,-5,24288,11,-974,50,975
22640,-13,24288,10,-977,55,979
23206,40,24288,0,-974,56,976
23767,0,24288,8,-976,50,978
24328,-1,24288,1,-977,66,979
24889,1,24288,3,-976,54,978
25455,425,24288,6,-978,59,980
26016,562,24288,6,-978,66,980
26577,910,24288,3,-978,59,980
27138,844,24288,2,-978,57,979
27704,496,24288,3,-978,57,979
28265,83,24288,8,-973,60,975
28826,0,24288,7,-979,53,980
29389,-2,24288,3,-969,80,972
29955,61,24288,-12,-978,49,979
30516,415,24288,-6,-984,73,987
31077,650,24288,5,-980,56,982
31638,1039,24288,5,-978,56,979
32204,868,24288,2,-976,58,978
32765,463,24288,4,-976,62,978
33326,31,24288,5,-979,56,981
33887,6,24288,9,-978,58,980
34453,4,24288,2,-978,57,979
35014,1008,24288,-1,-976,50,978
35575,5129,24288,-7,-973,51,974
36136,12555,24288,-14,-972,27,972
36702,19977,24288,-13,-962,8,962
37263,24272,24288,-27,-960,-11,960
37824,24351,24288,-25,-1060,-51,1062
38385,23944,24288,-56,-954,106,962
38953,115,24288,14,-1027,66,1029
39514,2099,24288,-11,-968,66,971
40075,7221,24288,9,-996,73,999
40636,14922,24288,64,-979,-19,982
41202,21866,24288,27,-1047,5,1048
41763,24351,24288,0,-1069,12,1069
42324,24351,24288,-236,-1144,113,1174
42885,24351,24288,-15,-721,116,730
43451,24351,24288,21,-1041,-97,1046
44012,24351,24288,7,-975,62,977
44573,86,24288,-8,-956,68,958
45134,1168,24288,-8,-995,89,999
45700,6036,24288,-26,-978,24,979
46261,13041,24288,28,-976,-10,977
46822,20488,24288,-2,-954,33,955
47385,13345,24288,39,-956,86,961
47951,312,24288,15,-1022,59,1024
48512,3009,24288,56,-970,9,972
49073,9195,24288,42,-975,4,976
49634,16820,24288,16,-1000,21,1000
50200,22878,24288,-12,-984,0,984
50761,24351,24288,7,-909,62,911
51322,24351,24288,38,-1024,-13,1024
51883,24351,24288,-47,-1046,31,1047
52449,24351,24288,537,-927,-431,1155
53010,24336,24288,198,-1056,-158,1086
53571,24237,24288,6,-994,19,994
54132,24278,24288,-163,-905,122,928
54698,24351,24288,-3,-1170,-26,1170
55259,21985,24288,-96,-924,169,944
55822,15711,24288,72,-561,247,617
56383,2588,24288,-200,-974,192,1013
56949,-9,24288,-73,-1032,103,1040
57510,4,24288,-106,-1029,100,1039
58071,0,24288,-51,-986,75,990
58632,-7,24288,-117,-994,163,1015
59198,-3,24288,-185,-945,207,985
59759,-10,24288,23,-820,86,824
60320,-14,24288,-3,-1076,10,1076
60881,-9,24288,-83,-866,226,899
61447,-40,24288,-65,-802,355,880
62008,-19,24288,57,154,143,218
62569,7,24288,-17,-676,242,718
63130,10,24288,-134,-995,126,1012
63696,10,24288,-63,-1029,99,1035
64257,13,24288,-21,-1002,79,1006
64820,10,24288,99,-761,61,770
65381,-9,24288,-54,-1023,160,1037
65947,-11,24288,-64,-935,78,940
66508,-15,24288,-85,-966,185,987
67069,-11,24288,132,-834,162,860
67630,-22,24288,64,-651,322,729
68196,-20,24288,36,41,327,332
68757,-8,24288,-288,-1079,226,1140
69318,0,24288,-43,-938,175,955
69879,-1,24288,-158,-1012,96,1029
70445,-4,24288,64,-871,194,895
71006,4,24288,-196,-1025,238,1070
71567,2,24288,-111,-1073,151,1090
72128,3,24288,-17,-991,56,993
72694,-5,24288,-60,-972,113,981
73257,80,24288,-47,-999,78,1003
73818,1387,24288,-88,-988,109,998
74379,6869,24288,-55,-1055,103,1062
74945,16165,24288,28,-1017,-6,1018
75506,19105,24288,-32,-964,62,967
76067,19364,24288,5,-996,-11,996
76628,19099,24288,-15,-1009,43,1010
77194,14796,24288,34,-979,57,982
77755,698,24288,13,-877,74,881
78316,689,24288,-201,-1114,230,1155
78877,4249,24288,-44,-1304,49,1306
79443,11094,24288,127,-863,96,877
80004,11284,24288,-101,-982,109,993
80565,5555,24288,3,-962,1,962
81126,7473,24288,-210,-1076,195,1114
81694,-33,24288,42,-1242,-14,1243
82255,-37,24288,9,-936,66,939
82816,-24,24288,-47,-1007,95,1013
83377,-29,24288,-80,-982,158,998
83943,-25,24288,-43,-1046,63,1049
84504,-25,24288,-33,-896,140,908
85065,-38,24288,-3,-965,24,965
85626,-21,24288,-118,-931,126,947
86192,-11,24288,78,-936,-27,940
86753,-6,24288,-7,-944,69,946
87314,-39,24288,-114,-968,225,1001
87875,-39,24288,135,-1030,-168,1052
88443,-35,24288,-165,-1208,22,1220
89004,-27,24288,-39,-1003,76,1006
89565,-19,24288,-7,-980,43,981
90126,-6,24288,-31,-872,122,881
90694,-9,24288,-44,-1031,81,1035
91255,-14,24288,-251,-1190,145,1224
91816,-20,24288,63,-530,256,592
92377,-17,24288,13,-1032,-10,1033
92943,-9,24288,19,-990,54,992
93504,-4,24288,-12,-1012,105,1017
94065,0,24288,15,-994,88,998
94626,4,24288,-48,-1010,93,1016
95192,12,24288,-5,-971,120,979
95753,11,24288,9,-943,72,946
96314,-1,24288,80,-935,58,940
96875,7,24288,-46,-876,123,886
97441,7,24288,64,-959,50,962
98002,9,24288,17,-1020,60,1022
98563,14,24288,25,-1009,67,1011
99124,15,24288,-26,-934,122,942
99692,14,24288,-8,-983,85,986
100253,9,24288,49,-974,136,984
100814,21,24288,-31,-981,39,983
101375,23,24288,-21,-977,47,979
101941,17,24288,-7,-974,76,977
102502,17,24288,-101,-990,100,1000
103063,19,24288,-12,-968,62,970
103624,10,24288,-49,-985,125,995
104190,8,24288,34,-985,49,987
104751,17,24288,-51,-978,3,980
105312,17,24288,-30,-990,59,992
105873,13,24288,-1,-995,57,997
106439,18,24288,9,-980,69,983
107000,17,24288,-38,-986,57,988
107561,13,24288,-18,-974,63,976
108140,17,24288,-3,-980,68,983
108712,23,24288,-19,-978,78,981
109273,17,24288,-33,-981,65,984
109834,24,24288,18,-974,73,977
110395,24,24288,-17,-986,56,988
110961,21,24288,106,-954,-7,960
111522,17,24288,-87,-982,85,989
112083,23,24288,25,-998,78,1001
112644,19,24288,-2,-963,53,964
113210,19,24288,-41,-971,20,972
113771,13,24288,-17,-974,72,977
114332,9,24288,-18,-994,97,999
114893,8,24288,-35,-979,65,982
115459,11,24288,-22,-979,61,981
116020,16,24288,-13,-978,59,980
