timestamp_ms,current_mA,voltage_mV,ax_x100,ay_x100,az_x100,amag_x100
91569,3,24288,40,-980,42,982
92128,0,24288,47,-980,29,982
92685,1,24288,45,-981,32,983
93247,4,24288,50,-984,30,986
93804,2,24288,51,-981,32,983
94361,0,24288,47,-982,31,984
94918,4,24288,44,-980,37,982
95480,3,24288,43,-981,35,983
96037,0,24288,41,-979,37,980
96594,-5,24288,43,-980,37,981
97151,-6,24288,42,-980,37,981
97713,-280,24288,42,-980,36,981
98270,-418,24288,42,-980,37,982
98827,-465,24288,43,-981,33,982
99384,-443,24288,44,-981,35,983
99948,-448,24288,43,-983,34,985
100504,-346,24288,43,-980,36,981
101060,-8,24288,42,-980,36,981
101617,-10,24288,43,-980,35,982
102178,-17,24288,42,-979,41,981
102734,-283,24288,42,-978,40,979
103290,-418,24288,40,-981,39,983
103846,-444,24288,42,-981,37,983
104407,-420,24288,45,-980,39,982
104963,-450,24288,42,-980,39,982
105519,-331,24288,42,-980,36,982
106076,-21,24288,42,-981,36,982
106637,-313,24288,35,-981,51,983
107193,-658,24288,44,-977,28,979
107749,-1013,24288,49,-977,37,979
108305,-1345,24288,43,-977,25,979
108868,-2159,24288,44,-974,43,976
109424,-2780,24288,38,-983,44,984
109980,-1063,24288,44,-979,21,980
110537,-811,24288,45,-979,25,981
111098,-812,24288,30,-986,33,987
111654,-749,24288,42,-980,31,981
112210,-762,24288,31,-975,25,976
112766,-731,24288,40,-971,51,974
113327,-6,24288,37,-976,43,977
113883,-2,24288,52,-981,25,983
114439,-2,24288,27,-983,44,984
114996,2,24288,50,-983,23,985
115557,0,24288,30,-978,46,979
116113,1,24288,38,-982,36,984
116669,2,24288,40,-979,43,981
117225,5,24288,42,-983,32,984
117789,1,24288,43,-980,36,982
118346,-2,24288,49,-980,39,982
118903,-8,24288,48,-979,38,981
119460,-2,24288,54,-981,32,983
120022,-7,24288,50,-979,36,981
120579,-12,24288,43,-980,41,982
121136,-11,24288,44,-982,36,983
121693,-3,24288,47,-981,38,982
122255,-6,24288,47,-979,41,981
122812,-6,24288,46,-979,38,981
123369,0,24288,42,-982,37,983
123926,0,24288,44,-980,28,981
124488,2,24288,45,-979,42,981
125045,-8,24288,44,-979,38,981
125602,-8,24288,48,-980,40,982
126159,-5,24288,50,-980,42,982
126721,-3,24288,48,-980,39,982
127280,-8,24288,44,-980,36,982
127837,-15,24288,37,-976,45,977
128394,-10,24288,44,-981,28,982
128956,-5,24288,50,-979,38,981
129513,-3,24288,47,-983,39,985
130070,-4,24288,46,-979,34,981
130627,-4,24288,45,-981,40,983
131189,-4,24288,58,-982,35,984
131746,-3,24288,42,-980,46,982
132303,-5,24288,42,-980,41,982
132860,-2,24288,44,-980,41,982
133422,0,24288,44,-980,39,981
133979,-4,24288,45,-981,39,982
134536,0,24288,45,-981,37,982
135093,0,24288,44,-980,42,982
135655,7,24288,45,-979,39,981
136214,2,24288,47,-980,43,982
136771,9,24288,44,-981,43,983
137328,3,24288,45,-981,40,983
137890,5,24288,45,-981,40,983
138447,2,24288,44,-980,39,982
139004,1,24288,47,-980,39,982
139561,0,24288,46,-980,38,982
140123,-2,24288,47,-981,36,983
140680,-2,24288,41,-981,41,983
141237,-1,24288,44,-980,40,982
