timestamp_ms,current_mA,voltage_mV,ax_x100,ay_x100,az_x100,amag_x100
20917,-1,24288,115,-971,36,978
21514,-3,24288,96,-976,46,982
22111,-1,24288,107,-976,55,983
22708,0,24288,105,-975,48,982
23311,5,24288,110,-977,41,984
23908,5,24288,106,-972,13,978
24506,0,24288,99,-972,46,978
25105,-5,24288,106,-983,46,989
25709,0,24288,105,-975,48,982
26307,2,24288,110,-975,48,983
26904,0,24288,119,-968,43,976
27502,-1,24288,112,-974,49,982
28104,-4,24288,110,-975,44,982
28701,-8,24288,119,-972,33,980
29299,-7,24288,112,-972,43,980
29899,5,24288,112,-970,53,978
30501,6,24288,109,-975,48,982
31098,0,24288,107,-976,48,983
31694,-7,24288,109,-975,48,982
32291,-2,24288,110,-973,48,981
32893,-6,24288,107,-976,46,983
33489,-1,24288,113,-975,44,982
34091,-5,24288,108,-976,48,983
34686,-6,24288,106,-977,48,983
35288,-8,24288,111,-968,29,975
35885,0,24288,111,-967,50,974
36481,-4,24288,112,-973,42,980
37079,-5,24288,110,-976,39,983
37681,-9,24288,93,-971,37,976
38277,-12,24288,105,-974,47,981
38875,-9,24288,99,-980,36,985
39472,-6,24288,115,-975,40,983
40078,-8,24288,97,-991,66,998
40676,-5,24288,111,-964,39,971
41272,-2,24288,117,-970,41,978
41870,-2,24288,114,-977,40,985
42473,1,24288,113,-975,51,983
43071,4,24288,105,-976,51,983
43670,5,24288,110,-973,47,980
44268,0,24288,112,-972,47,980
44870,-4,24288,117,-978,41,986
45468,-1,24288,109,-976,44,984
46066,-3,24288,112,-974,41,981
46664,2,24288,113,-980,42,988
47267,-1,24288,112,-978,40,985
47863,5,24288,110,-975,47,982
48461,0,24288,118,-964,41,972
49061,-8,24288,106,-972,69,981
49664,-4,24288,111,-977,60,985
50261,1,24288,113,-978,46,986
50857,5,24288,106,-979,52,986
51454,-3,24288,118,-968,42,976
52057,-5,24288,106,-974,50,982
52655,-4,24288,111,-974,47,982
53258,-1,24288,111,-977,58,985
53854,0,24288,117,-971,45,979
54456,0,24288,102,-959,51,966
55055,2,24288,113,-976,36,983
55653,-4,24288,92,-962,114,973
56251,4,24288,314,-993,173,1056
56853,-6,24288,105,-975,38,981
57450,0,24288,114,-1002,22,1009
58047,-3,24288,120,-970,26,978
58645,-12,24288,98,-1188,19,1192
59248,-19,24288,74,-950,66,955
59849,-25,24288,106,-975,-4,981
60445,-27,24288,139,-964,46,975
61042,-32,24288,110,-988,-16,995
61645,-26,24288,42,-1023,84,1028
62243,-26,24288,122,-961,52,971
62841,-29,24288,70,-987,6,990
63438,-32,24288,106,-965,-29,971
64040,-26,24288,138,-932,95,947
64637,-28,24288,60,-1008,14,1010
65235,-30,24288,142,-994,22,1004
65833,-31,24288,109,-952,81,962
66437,-30,24288,105,-976,69,984
67034,-26,24288,89,-982,14,986
67631,-28,24288,115,-982,24,989
68232,-26,24288,106,-986,50,993
68835,-26,24288,112,-979,47,986
69436,-28,24288,110,-975,47,982
70031,-27,24288,112,-974,43,982
70628,-26,24288,112,-974,44,982
71229,-27,24288,111,-974,39,982
71831,-20,24288,112,-974,39,981
72429,-22,24288,116,-973,40,981
73024,-24,24288,115,-973,35,981
73626,-31,24288,113,-965,41,973
74222,-38,24288,112,-972,38,979
74820,-26,24288,117,-973,36,980
75418,-21,24288,117,-973,42,981
76019,-18,24288,116,-973,42,981
76615,-21,24288,116,-974,38,982
77211,-23,24288,115,-974,39,982
77809,-15,24288,114,-974,37,981
78412,-21,24288,115,-975,40,983
79013,-23,24288,114,-974,39,981
79609,-20,24288,115,-973,40,981
80207,-23,24288,115,-974,40,982
80809,-23,24288,114,-973,40,981
81407,-26,24288,114,-974,39,981
82006,-26,24288,115,-974,41,982
82603,-26,24288,115,-974,40,982
83205,-25,24288,114,-974,40,982
83802,-29,24288,116,-974,38,981
84401,-32,24288,115,-974,38,982
85000,-29,24288,115,-973,38,981
85604,-42,24288,118,-974,46,982
86201,-48,24288,113,-976,24,983
86799,-46,24288,111,-976,38,983
87396,-37,24288,111,-972,42,979
87999,-38,24288,113,-970,37,977
88600,-37,24288,113,-972,39,979
89197,-31,24288,115,-973,40,980
89794,-31,24288,114,-973,37,980
90400,-27,24288,116,-973,37,981
90999,-30,24288,115,-973,38,981
91599,-26,24288,115,-974,40,982
92195,-28,24288,116,-972,38,979
92797,-28,24288,114,-973,39,981
93394,-30,24288,121,-975,36,983
93992,-32,24288,122,-973,38,981
94591,-30,24288,121,-972,33,980
95193,-31,24288,117,-975,33,983
95790,-32,24288,120,-973,41,981
96388,-36,24288,109,-976,33,982
96985,-27,24288,112,-975,32,982
97589,-28,24288,116,-974,36,982
98230,-34,24288,121,-972,39,981
98831,-26,24288,117,-974,36,981
99431,-30,24288,117,-974,44,982
100037,-27,24288,116,-976,46,984
100638,-34,24288,115,-975,39,983
101238,-36,24288,106,-977,47,984
101839,-28,24288,111,-975,42,983
102445,-38,24288,114,-975,40,982
103045,-33,24288,115,-975,41,982
103646,-31,24288,117,-973,38,981
104245,-23,24288,117,-973,31,980
104851,-30,24288,122,-974,39,982
105451,-29,24288,116,-975,35,982
106051,-27,24288,118,-976,34,983
106652,-22,24288,117,-977,31,985
107258,-31,24288,116,-974,39,982
107860,-30,24288,109,-972,46,979
108465,-31,24288,115,-974,36,981
109064,-27,24288,111,-974,41,981
109669,-23,24288,117,-974,37,982
110268,-22,24288,123,-972,37,981
110868,-25,24288,122,-971,49,980
111469,-25,24288,117,-972,40,980
112075,-29,24288,112,-974,27,981
112675,-32,24288,108,-975,29,981
113275,-29,24288,121,-973,46,982
113875,-31,24288,117,-976,44,984
114480,-35,24288,115,-974,38,982
115080,-38,24288,116,-975,42,983
115679,-30,24288,109,-973,43,980
116280,-36,24288,110,-979,36,986
116887,-32,24288,112,-979,38,986
117488,-29,24288,124,-975,38,983
118090,-32,24288,120,-975,39,984
118690,-34,24288,116,-972,36,980
119295,-40,24288,135,-963,12,973
119895,-42,24288,112,-979,34,986
120496,-59,24288,121,-971,41,979
121097,-85,24288,115,-974,34,982
121703,-83,24288,112,-974,36,982
122303,-86,24288,118,-974,36,982
122904,-100,24288,112,-975,33,982
123503,-109,24288,116,-974,37,982
124109,-103,24288,117,-974,40,982
124711,-104,24288,119,-974,38,982
125311,-101,24288,117,-975,34,983
125911,-96,24288,107,-999,42,1006
126515,-155,24288,113,-983,68,992
127120,-127,24288,123,-975,43,984
127721,-133,24288,113,-975,30,983
128321,-133,24288,112,-977,34,984
128926,-135,24288,115,-972,42,980
129526,-140,24288,120,-974,42,982
130126,-133,24288,117,-972,39,980
130727,-139,24288,121,-974,47,982
131333,-137,24288,117,-974,42,982
131933,-142,24288,116,-977,39,985
132534,-141,24288,116,-976,39,984
133134,-137,24288,112,-972,44,979
133742,-135,24288,118,-975,34,983
134343,-137,24288,114,-974,35,982
134943,-132,24288,117,-974,40,982
135547,-141,24288,116,-974,40,982
136152,-147,24288,116,-975,38,983
136752,-144,24288,113,-976,33,983
137354,-140,24288,110,-974,44,981
137954,-142,24288,110,-974,40,981
138559,-141,24288,113,-974,38,982
139160,-133,24288,113,-975,33,982
139760,-135,24288,117,-974,42,982
140361,-134,24288,122,-972,35,981
140967,-135,24288,114,-976,37,983
141567,-135,24288,115,-975,38,982
142169,-139,24288,108,-975,42,982
142770,-133,24288,116,-975,36,983
143375,-136,24288,118,-975,39,983
143976,-132,24288,111,-972,40,979
144578,-130,24288,114,-973,41,981
145177,-132,24288,112,-975,45,982
145786,-136,24288,112,-975,38,982
146385,-130,24288,114,-975,39,983
146986,-136,24288,114,-975,37,982
147585,-140,24288,102,-976,35,982
148189,-138,24288,112,-975,44,982
148789,-140,24288,115,-975,41,983
149388,-140,24288,112,-975,40,982
149988,-142,24288,119,-974,41,982
150593,-138,24288,114,-974,39,981
151192,-140,24288,116,-974,39,982
151792,-140,24288,113,-975,37,982
152392,-141,24288,130,-970,20,979
152995,-136,24288,123,-973,29,981
153599,-137,24288,116,-974,36,982
154199,-134,24288,113,-975,40,982
154799,-128,24288,115,-974,40,981
155405,-124,24288,115,-973,37,980
156005,-132,24288,115,-974,36,982
156607,-135,24288,114,-974,42,982
157208,-134,24288,116,-975,41,983
157813,-142,24288,116,-974,41,982
158415,-137,24288,116,-973,40,981
159016,-137,24288,113,-973,40,981
159616,-133,24288,116,-973,36,981
160223,-131,24288,110,-974,30,981
160823,-129,24288,116,-973,42,981
161424,-124,24288,114,-974,38,982
162025,-132,24288,115,-974,39,981
162633,-134,24288,115,-974,37,981
163233,-135,24288,115,-976,38,983
163834,-129,24288,116,-974,33,981
164438,-130,24288,117,-975,37,982
