timestamp_ms,current_mA,voltage_mV,ax_x100,ay_x100,az_x100,amag_x100
20814,5,24288,115,-970,106,983
21407,12,24288,117,-970,104,983
21998,17,24288,112,-970,104,982
22590,5,24288,111,-971,108,983
23188,2,24288,114,-974,111,987
23780,-14,24288,117,-973,108,986
24374,-7,24288,117,-973,99,985
24968,14,24288,118,-962,109,975
25565,29,24288,118,-972,98,984
26158,26,24288,113,-974,103,986
26750,24,24288,111,-971,102,983
27342,41,24288,109,-967,103,978
27940,42,24288,113,-969,113,982
28535,42,24288,122,-969,112,983
29130,40,24288,91,-976,71,983
29721,42,24288,125,-968,129,985
30317,44,24288,113,-969,110,982
30909,32,24288,108,-970,104,982
31501,28,24288,111,-971,105,983
32092,26,24288,111,-970,104,982
32689,32,24288,112,-971,103,983
33280,26,24288,112,-972,103,984
33873,29,24288,113,-970,105,982
34465,25,24288,111,-970,99,982
35060,39,24288,103,-978,108,989
35652,34,24288,104,-981,112,993
36243,32,24288,104,-976,112,988
36834,37,24288,108,-971,109,983
37431,46,24288,113,-969,104,981
38023,40,24288,114,-971,101,983
38613,18,24288,122,-969,102,982
39208,2,24288,112,-970,104,982
