timestamp_ms,current_mA,voltage_mV,ax_x100,ay_x100,az_x100,amag_x100
20875,-3,24288,103,-976,37,983
21467,-3,24288,107,-978,44,985
22059,-3,24288,109,-975,40,982
22651,-1,24288,109,-975,41,982
23248,5,24288,112,-975,36,982
23841,4,24288,113,-974,41,981
24433,0,24288,110,-974,40,981
25025,0,24288,112,-975,35,982
25621,4,24288,114,-974,37,982
26217,0,24288,112,-973,38,980
26810,-5,24288,108,-976,41,983
27402,-4,24288,107,-978,41,985
27999,-4,24288,104,-978,43,985
28591,0,24288,103,-977,46,984
29183,3,24288,106,-976,43,982
29776,7,24288,107,-975,42,982
30372,4,24288,108,-975,40,982
30963,6,24288,109,-975,41,982
31554,4,24288,104,-977,43,984
32145,1,24288,105,-977,42,984
32741,2,24288,106,-976,42,983
33333,-8,24288,107,-976,39,983
33924,-10,24288,110,-976,39,983
34516,0,24288,109,-975,39,981
35112,-6,24288,108,-975,39,982
35703,-1,24288,109,-975,39,982
36294,-5,24288,109,-975,39,982
36885,-3,24288,108,-975,39,982
37481,-3,24288,110,-974,41,981
38072,-2,24288,95,-961,52,967
38663,2,24288,98,-977,47,983
39254,6,24288,111,-977,49,985
39854,-7,24288,138,-964,4,974
40446,-9,24288,38,-994,95,999
41038,-3,24288,97,-979,46,985
41630,6,24288,100,-973,52,979
42227,-4,24288,117,-973,59,982
