timestamp_ms,current_mA,voltage_mV,ax_x100,ay_x100,az_x100,amag_x100
20853,-11,24288,107,-974,81,984
21445,0,24288,112,-972,86,982
22036,-5,24288,84,-977,126,988
22628,-3,24288,107,-969,92,979
23226,-8,24288,111,-970,90,981
23819,-9,24288,97,-978,98,988
24410,-8,24288,115,-964,81,974
25002,-9,24288,113,-973,93,984
25602,-6,24288,109,-971,88,981
26195,-7,24288,114,-972,89,983
26788,-6,24288,112,-974,87,984
27379,-2,24288,110,-972,92,983
27976,-6,24288,115,-973,85,983
28568,-13,24288,120,-972,81,983
29160,-12,24288,130,-976,68,987
29755,-9,24288,106,-973,84,982
30351,-12,24288,109,-970,86,980
30942,-18,24288,117,-971,79,982
31532,-11,24288,112,-971,84,981
32123,-13,24288,109,-971,89,981
32720,-11,24288,108,-971,86,981
33312,-16,24288,114,-972,85,983
33902,-25,24288,117,-976,89,987
34493,-21,24288,113,-971,88,982
35089,-16,24288,113,-973,87,983
35680,-25,24288,106,-972,85,982
36272,-22,24288,111,-973,85,983
36863,-17,24288,109,-974,90,984
37459,-10,24288,114,-973,88,984
38049,-21,24288,106,-974,86,983
38640,-24,24288,112,-973,82,983
39236,-18,24288,107,-975,98,986
39834,-20,24288,116,-972,83,983
40425,-18,24288,109,-971,85,981
41016,-22,24288,113,-970,85,980
41607,-23,24288,116,-974,84,985
42204,-19,24288,105,-975,84,984
42797,-23,24288,106,-973,85,982
43389,-13,24288,110,-973,89,983
43985,-20,24288,114,-972,91,983
44581,-25,24288,113,-971,83,981
45173,-24,24288,111,-972,86,982
45766,-29,24288,113,-973,84,983
46358,-34,24288,113,-973,86,983
46955,-37,24288,113,-971,83,982
47546,-34,24288,112,-971,84,981
48137,-31,24288,111,-972,84,982
48733,-32,24288,112,-973,82,983
49333,-37,24288,110,-972,85,982
49925,-35,24288,114,-973,82,983
50517,-31,24288,108,-971,91,981
51108,-32,24288,110,-972,84,982
51706,-31,24288,109,-982,85,992
52299,-30,24288,127,-967,87,979
52892,-30,24288,113,-975,86,985
53484,-28,24288,112,-974,94,985
54080,-27,24288,111,-972,85,982
54672,-27,24288,113,-972,82,982
55265,-30,24288,111,-974,82,984
55858,-27,24288,110,-971,83,981
56455,-23,24288,108,-973,85,983
57046,-34,24288,110,-974,84,984
57637,-35,24288,112,-970,80,980
58232,-32,24288,115,-973,72,982
58830,-34,24288,116,-975,80,985
59423,-32,24288,107,-970,90,980
60015,-43,24288,125,-967,64,978
60606,-38,24288,114,-972,83,982
61203,-35,24288,115,-973,84,984
61796,-39,24288,103,-972,90,981
62393,-37,24288,111,-972,82,982
62986,-39,24288,110,-971,83,981
63582,-37,24288,109,-973,85,982
64174,-40,24288,108,-973,88,983
64767,-45,24288,114,-969,86,979
65359,-44,24288,109,-972,83,982
65957,-41,24288,113,-974,84,984
66548,-37,24288,110,-974,86,984
67139,-38,24288,111,-974,83,983
67734,-46,24288,110,-971,85,981
68330,-48,24288,112,-973,82,983
68922,-44,24288,112,-971,81,981
69514,-41,24288,101,-962,97,972
70104,-43,24288,109,-970,83,980
70700,-43,24288,116,-967,88,978
71292,-44,24288,103,-972,88,982
71883,-48,24288,112,-972,80,982
72476,-50,24288,114,-971,77,981
73072,-53,24288,109,-973,83,982
73663,-54,24288,109,-974,83,983
74255,-20,24288,106,-974,78,983
74846,1896,24288,83,-976,58,981
75443,3576,24288,93,-968,48,974
76035,3267,24288,70,-957,75,962
76625,3107,24288,77,-985,70,990
77219,2591,24288,79,-984,111,994
77817,-63,24288,86,-959,118,970
78409,-43,24288,123,-962,72,973
79002,1265,24288,104,-980,38,986
79593,6709,24288,119,-953,43,962
80189,728,24288,102,-984,86,993
80786,4504,24288,126,-981,23,990
81379,10087,24288,111,-989,7,995
81972,674,24288,98,-1031,153,1047
82569,117,24288,201,-956,13,977
83160,203,24288,127,-937,87,950
83752,664,24288,106,-976,83,985
84345,110,24288,115,-1018,62,1026
