timestamp_ms,current_mA,voltage_mV,ax_x100,ay_x100,az_x100,amag_x100
20804,0,24288,120,-969,103,982
21371,10,24288,121,-970,104,983
21939,12,24288,119,-970,104,983
22507,55,24288,120,-969,107,983
23080,54,24288,122,-970,107,984
23647,49,24288,118,-970,102,982
24215,55,24288,119,-970,103,983
24783,63,24288,120,-970,103,983
25355,62,24288,122,-970,105,983
25923,55,24288,120,-970,104,983
26491,43,24288,121,-969,107,982
27058,46,24288,118,-970,104,983
27630,65,24288,120,-970,105,983
28198,77,24288,120,-969,104,982
28768,91,24288,119,-970,104,983
29334,104,24288,120,-970,105,983
29910,95,24288,120,-970,102,983
30476,94,24288,120,-970,104,983
31043,113,24288,122,-970,107,983
31610,108,24288,118,-970,107,983
32181,89,24288,119,-970,104,983
32747,79,24288,121,-970,104,983
33316,66,24288,121,-970,103,983
33883,40,24288,119,-970,104,983
34454,24,24288,117,-970,105,983
35021,6,24288,121,-970,106,983
35587,23,24288,119,-970,104,983
36154,11,24288,120,-970,104,983
36726,1,24288,118,-971,102,983
37292,-2,24288,126,-969,102,983
37862,-1,24288,142,-965,119,983
38429,0,24288,95,-973,118,985
39002,5,24288,148,-965,108,982
39570,3,24288,129,-967,94,980
40137,12,24288,103,-969,111,981
40705,15,24288,120,-972,97,984
41277,17,24288,119,-970,102,982
41845,31,24288,140,-947,133,967
42413,29,24288,98,-982,127,995
42980,40,24288,119,-964,91,975
43553,27,24288,132,-974,97,987
44120,20,24288,130,-936,92,949
44688,24,24288,130,-955,94,969
45256,8,24288,126,-967,105,981
45828,1,24288,117,-971,99,983
46396,-11,24288,119,-971,103,984
46963,3,24288,119,-965,104,979
47538,19,24288,122,-965,104,979
48110,26,24288,123,-967,102,980
48678,33,24288,120,-968,105,981
49245,40,24288,122,-969,106,982
49813,45,24288,119,-971,100,983
50386,48,24288,141,-961,80,974
50953,48,24288,126,-976,96,989
51521,41,24288,139,-979,88,993
52089,39,24288,119,-970,109,984
52661,34,24288,119,-969,100,982
53231,28,24288,124,-972,109,986
53798,26,24288,118,-970,101,982
54365,24,24288,123,-965,99,978
54938,21,24288,117,-973,110,986
55506,13,24288,107,-973,112,986
56073,-7,24288,117,-971,106,984
56644,13,24288,119,-965,103,978
57217,2,24288,139,-968,106,984
57785,7,24288,98,-982,129,996
58352,-17,24288,120,-968,116,982
58920,-15,24288,106,-963,108,975
59492,13,24288,114,-974,105,986
60059,17,24288,115,-970,109,983
60627,19,24288,119,-973,109,987
61195,21,24288,120,-972,109,985
61767,17,24288,120,-971,106,984
62335,-12,24288,117,-972,104,985
62903,-24,24288,120,-971,105,984
63471,-34,24288,119,-970,101,982
64043,-35,24288,121,-969,103,982
64611,-31,24288,121,-969,105,982
65182,-39,24288,121,-971,104,984
65751,-29,24288,124,-970,106,984
66323,-25,24288,116,-974,111,987
66889,-1,24288,113,-968,109,981
67456,6,24288,120,-971,101,984
68023,13,24288,117,-967,107,980
68595,20,24288,118,-967,103,980
69161,10,24288,122,-969,108,982
69728,18,24288,121,-970,105,983
70295,1,24288,119,-971,102,984
70866,7,24288,121,-970,100,982
71433,5,24288,122,-970,103,983
72000,17,24288,118,-969,102,982
72566,11,24288,122,-968,103,981
73138,4,24288,117,-969,100,981
73705,-11,24288,116,-972,102,984
74272,-5,24288,119,-968,106,981
74841,-2,24288,119,-969,105,982
75416,1,24288,120,-972,105,985
75984,-3,24288,118,-971,104,984
76551,-20,24288,122,-972,103,985
77119,-12,24288,115,-971,103,983
77691,-31,24288,112,-974,115,987
78259,-30,24288,111,-977,107,989
78827,-15,24288,128,-971,116,987
79395,-3,24288,107,-976,112,988
79968,-15,24288,105,-973,96,984
80535,-16,24288,128,-963,122,979
81103,-41,24288,157,-967,114,986
81671,-49,24288,96,-978,87,987
82243,-48,24288,105,-971,107,983
82815,-49,24288,111,-954,80,963
83382,-30,24288,125,-971,123,986
83952,-30,24288,94,-967,112,978
84525,-50,24288,141,-955,103,971
85093,-7,24288,126,-978,79,989
85660,-1,24288,140,-966,90,980
86228,-5,24288,121,-969,98,981
86801,-12,24288,120,-973,93,984
87368,-7,24288,110,-967,123,981
87936,1,24288,115,-971,100,983
88504,-6,24288,126,-971,91,984
89076,-6,24288,128,-967,103,981
89644,-2,24288,108,-972,107,984
90212,0,24288,140,-951,83,964
90780,3,24288,103,-974,114,986
91352,-5,24288,118,-977,102,989
91920,1,24288,71,-989,80,995
92488,5,24288,120,-973,115,987
93102,4,24288,113,-970,105,983
93678,0,24288,119,-970,108,983
94249,14,24288,119,-969,103,982
94820,17,24288,119,-971,104,984
95390,11,24288,122,-968,95,980
95966,-19,24288,119,-970,105,983
96536,-11,24288,129,-970,98,983
97107,16,24288,119,-967,108,981
97677,22,24288,114,-970,105,983
98253,1,24288,90,-991,140,1005
98823,-8,24288,143,-952,102,968
99394,0,24288,118,-977,123,992
99969,-22,24288,132,-977,108,992
100545,-20,24288,130,-967,115,983
101116,-9,24288,134,-963,117,979
101686,0,24288,115,-983,109,996
102259,-5,24288,117,-977,111,990
102833,12,24288,123,-964,87,976
103403,22,24288,107,-969,112,981
103972,19,24288,123,-970,105,984
104542,19,24288,134,-979,96,993
105117,7,24288,155,-964,113,983
105687,7,24288,114,-970,100,981
106257,-10,24288,134,-982,104,997
106827,-26,24288,80,-1054,135,1065
107401,-29,24288,102,-964,115,976
107971,-28,24288,123,-971,119,986
108540,-31,24288,100,-957,115,969
109110,-33,24288,134,-966,88,980
109684,-28,24288,123,-967,92,979
110254,-33,24288,107,-972,111,985
110827,-9,24288,129,-975,94,988
111398,2,24288,128,-968,95,982
111974,5,24288,126,-967,95,980
112545,4,24288,130,-967,99,981
113115,5,24288,129,-967,94,980
113686,7,24288,129,-971,90,983
114261,18,24288,122,-969,97,982
114832,68,24288,120,-968,101,981
115404,30,24288,121,-965,97,977
115975,34,24288,114,-976,104,988
116551,33,24288,107,-983,115,995
117122,28,24288,115,-969,110,982
117697,18,24288,117,-970,103,983
118267,370,24288,127,-973,102,987
118842,421,24288,123,-964,104,978
119413,582,24288,124,-970,109,984
119987,596,24288,128,-976,110,991
120557,474,24288,119,-975,95,987
121133,194,24288,127,-969,94,982
121704,16,24288,116,-970,111,983
122275,3,24288,113,-969,104,982
122845,6,24288,112,-973,105,986
123421,419,24288,116,-972,105,985
123991,484,24288,119,-975,100,987
124561,747,24288,122,-971,100,984
125132,728,24288,122,-969,101,982
125708,477,24288,114,-970,108,983
126278,79,24288,117,-971,104,983
126849,27,24288,123,-967,104,980
127420,36,24288,138,-974,87,988
127996,32,24288,124,-971,103,984
128566,30,24288,114,-971,104,983
129139,32,24288,117,-967,109,980
129709,36,24288,126,-971,94,984
130284,23,24288,114,-971,116,985
130855,22,24288,125,-969,107,983
131426,28,24288,126,-958,93,971
131996,33,24288,126,-951,112,966
132572,34,24288,134,-953,113,969
133145,37,24288,136,-977,113,993
133715,42,24288,122,-957,121,973
134286,41,24288,124,-972,97,985
134861,332,24288,123,-972,134,989
135435,686,24288,127,-971,99,984
136006,71,24288,118,-980,111,994
136576,34,24288,121,-968,106,981
137152,41,24288,126,-970,105,984
137725,37,24288,123,-970,115,985
138295,136,24288,138,-956,108,972
138864,345,24288,124,-968,116,983
139439,884,24288,133,-975,111,990
140008,1398,24288,121,-962,114,976
140578,3090,24288,130,-982,105,997
141147,1807,24288,127,-970,95,983
141722,859,24288,124,-982,114,996
142291,239,24288,128,-983,121,999
142861,1,24288,137,-955,95,970
143431,4,24288,132,-964,105,978
144006,-5,24288,129,-966,101,980
144575,1,24288,123,-968,119,983
145145,0,24288,129,-967,109,982
145714,-10,24288,131,-958,111,973
146289,-10,24288,126,-966,108,980
146858,-26,24288,124,-967,111,982
147429,-16,24288,118,-971,108,985
147999,-37,24288,122,-967,103,980
148575,-44,24288,111,-986,81,996
149146,-29,24288,121,-954,123,969
149717,-33,24288,123,-982,87,994
150287,-27,24288,32,-979,136,989
150863,-18,24288,96,-969,135,983
151433,-26,24288,108,-971,120,984
152004,-28,24288,115,-968,111,981
152574,-16,24288,119,-970,106,984
153150,-17,24288,123,-970,102,983
153724,-11,24288,113,-973,105,985
154295,1,24288,116,-970,111,984
154865,7,24288,97,-985,124,997
155444,8,24288,136,-971,96,985
156014,5,24288,116,-966,105,979
156585,10,24288,127,-963,93,976
157155,17,24288,84,-969,140,983
157731,19,24288,93,-959,86,967
158302,20,24288,101,-976,147,992
158872,30,24288,122,-972,114,987
159443,36,24288,159,-990,59,1004
160019,57,24288,124,-965,94,978
160590,58,24288,113,-973,93,984
161160,58,24288,103,-971,99,981
161730,59,24288,134,-968,112,984
162306,64,24288,117,-972,100,984
162876,61,24288,118,-971,128,987
163447,60,24288,95,-972,105,982
164018,53,24288,108,-972,112,984
164637,52,24288,85,-965,116,976
165207,54,24288,113,-973,122,987
165777,58,24288,110,-975,101,987
166347,63,24288,137,-965,117,981
166923,60,24288,117,-962,108,976
167493,66,24288,122,-972,109,986
168064,72,24288,110,-974,96,985
168635,65,24288,119,-969,108,982
169211,58,24288,104,-973,107,984
169781,73,24288,106,-975,105,986
170351,79,24288,107,-971,107,982
170926,82,24288,135,-968,97,983
171501,86,24288,125,-967,98,980
172072,72,24288,122,-973,100,986
172642,75,24288,126,-967,98,980
173217,68,24288,116,-970,105,982
173792,74,24288,127,-969,112,984
174361,68,24288,119,-969,111,983
174931,71,24288,111,-970,109,982
175500,74,24288,100,-973,109,984
176074,72,24288,105,-974,106,985
176643,79,24288,117,-969,107,982
177213,81,24288,109,-969,136,984
177783,88,24288,129,-970,116,985
178357,86,24288,99,-969,111,981
178927,81,24288,118,-969,109,982
179497,78,24288,120,-970,110,984
180066,82,24288,118,-971,113,985
180641,88,24288,120,-974,97,986
181210,86,24288,101,-978,114,990
181780,89,24288,150,-952,81,967
182352,92,24288,116,-970,105,983
182928,90,24288,121,-968,107,982
183499,103,24288,117,-968,102,981
184069,95,24288,120,-970,109,983
184640,95,24288,126,-965,110,979
185216,96,24288,118,-966,96,978
185786,98,24288,112,-971,119,985
186357,100,24288,117,-969,120,983
186927,101,24288,115,-971,104,984
187502,93,24288,121,-970,100,983
188072,98,24288,113,-971,107,983
188647,95,24288,122,-969,94,981
189217,97,24288,122,-968,88,980
189793,94,24288,116,-969,106,981
190364,96,24288,107,-972,106,983
190937,90,24288,111,-970,104,982
191508,100,24288,108,-971,102,982
192083,95,24288,122,-970,102,983
192653,102,24288,118,-969,105,982
193223,103,24288,126,-965,95,978
193793,101,24288,112,-974,112,987
194369,96,24288,117,-970,109,983
194939,97,24288,121,-971,100,983
195512,97,24288,123,-972,97,984
196082,87,24288,108,-973,111,986
196658,82,24288,108,-983,129,997
197228,77,24288,116,-960,68,969
197799,81,24288,113,-981,103,992
198369,68,24288,112,-979,112,992
198944,73,24288,153,-965,22,978
199515,66,24288,109,-990,76,999
200088,71,24288,105,-964,92,974
200658,61,24288,111,-961,88,971
201234,52,24288,113,-972,126,987
201804,30,24288,125,-965,106,979
202375,37,24288,117,-979,101,991
202945,47,24288,125,-972,121,988
203520,47,24288,163,-964,62,980
204090,46,24288,133,-946,124,964
204660,46,24288,106,-972,116,985
205231,48,24288,120,-962,102,975
205807,51,24288,112,-967,65,976
206381,51,24288,91,-1016,89,1024
206951,40,24288,108,-977,116,990
207522,39,24288,150,-961,112,979
208097,25,24288,105,-985,83,994
208667,28,24288,135,-961,95,975
209239,15,24288,130,-961,79,973
209808,18,24288,109,-1001,111,1013
210383,24,24288,89,-969,150,985
210953,15,24288,113,-970,111,983
211523,22,24288,118,-972,105,985
212092,38,24288,127,-971,103,984
212666,44,24288,119,-969,103,982
213236,46,24288,138,-970,91,984
213805,41,24288,118,-968,96,980
214374,56,24288,121,-970,107,983
214948,55,24288,119,-969,103,982
215517,57,24288,116,-971,107,984
216087,55,24288,115,-968,111,982
216657,61,24288,7,-986,30,986
217234,59,24288,110,-978,150,995
217806,65,24288,131,-972,113,987
218377,60,24288,122,-970,103,984
218947,56,24288,108,-969,104,981
219523,50,24288,123,-973,118,988
220093,53,24288,104,-977,121,990
220663,49,24288,117,-969,112,983
221234,48,24288,94,-966,115,978
221810,55,24288,117,-965,109,979
222381,58,24288,105,-972,120,985
222952,61,24288,102,-974,81,983
223522,57,24288,121,-980,66,990
224102,57,24288,111,-963,158,982
224673,56,24288,135,-972,108,988
225243,63,24288,127,-969,97,982
225813,56,24288,121,-970,106,983
226389,59,24288,119,-970,104,983
226962,60,24288,118,-970,104,983
227533,183,24288,117,-970,100,982
228104,518,24288,107,-971,93,982
228680,1154,24288,103,-976,89,985
229250,294,24288,120,-966,96,978
229821,67,24288,117,-968,104,981
230392,65,24288,118,-970,97,982
230967,62,24288,137,-974,75,986
231537,61,24288,116,-975,93,986
232108,658,24288,102,-971,92,981
232679,3043,24288,108,-970,86,980
233255,2875,24288,109,-963,90,974
233826,2893,24288,106,-932,113,945
234397,2707,24288,105,-984,98,995
234967,2665,24288,112,-958,98,970
235586,1643,24288,108,-946,99,958
236157,2043,24288,119,-976,106,989
236728,1958,24288,113,-979,106,992
237299,6075,24288,99,-974,93,984
237875,6799,24288,124,-959,61,969
