timestamp_ms,source_timestamp_ms,current_mA,voltage_mV,motor_temperature_C,motor_temperature_valid,wheel_speed_valid,wheel_speed_kph,wheel_rpm,wheel_spoke_count,ax_x100,ay_x100,az_x100,amag_x100,source_file
0,419072,5,24289,23.87,1,1,0.0,0.0,538,122,-971,-46,980,2026-08-06-00-02.csv
288,419360,17,24289,23.89,1,1,0.0,0.0,538,124,-971,-45,980,2026-08-06-00-02.csv
602,419674,3,24289,23.87,1,1,0.0,0.0,538,127,-973,-38,982,2026-08-06-00-02.csv
914,419986,13,24289,23.89,1,1,0.0,0.0,538,128,-972,-50,981,2026-08-06-00-02.csv
1275,420347,15,24289,23.87,1,1,0.0,0.0,538,127,-970,-44,979,2026-08-06-00-02.csv
1582,420654,10,24289,23.88,1,1,0.0,0.0,538,126,-966,-53,976,2026-08-06-00-02.csv
1886,420958,11,24289,23.86,1,1,0.0,0.0,538,130,-975,-55,986,2026-08-06-00-02.csv
2195,421267,17,24289,23.84,1,1,0.0,0.0,538,135,-973,-59,984,2026-08-06-00-02.csv
2540,421612,9,24289,23.86,1,1,0.0,0.0,538,151,-972,-80,986,2026-08-06-00-02.csv
2832,421904,3,24289,23.84,1,1,0.0,0.0,538,133,-967,-62,978,2026-08-06-00-02.csv
3118,422190,4,24289,23.86,1,1,0.0,0.0,538,128,-974,-60,984,2026-08-06-00-02.csv
3408,422480,14,24289,23.84,1,1,0.0,0.0,538,129,-973,-52,983,2026-08-06-00-02.csv
3694,422766,2,24289,23.84,1,1,0.0,0.0,538,130,-971,-46,980,2026-08-06-00-02.csv
3986,423058,3,24289,23.85,1,1,0.0,0.0,538,124,-975,-38,983,2026-08-06-00-02.csv
4261,423333,2,24289,23.86,1,1,0.0,0.0,538,122,-971,-39,979,2026-08-06-00-02.csv
4552,423624,0,24289,23.85,1,1,0.0,0.0,538,128,-973,-56,982,2026-08-06-00-02.csv
4846,423918,-2,24289,23.85,1,1,0.0,0.0,538,135,-964,-45,975,2026-08-06-00-02.csv
5145,424217,-4,24289,23.85,1,1,0.0,0.0,538,116,-980,-55,988,2026-08-06-00-02.csv
5444,424516,4,24289,23.87,1,1,0.0,0.0,538,84,-976,-55,981,2026-08-06-00-02.csv
5737,424809,-12,24289,23.86,1,1,0.0,0.0,539,132,-972,-83,984,2026-08-06-00-02.csv
6089,425161,-14,24289,23.85,1,1,0.0,0.0,539,123,-962,-85,974,2026-08-06-00-02.csv
6359,425431,8,24289,23.87,1,1,0.92,9.6,540,138,-977,-59,989,2026-08-06-00-02.csv
6647,425719,-3,24289,23.88,1,1,0.92,9.6,540,143,-967,-54,979,2026-08-06-00-02.csv
6935,426007,-8,24289,23.87,1,1,0.92,9.6,540,118,-967,-43,975,2026-08-06-00-02.csv
7221,426293,-15,24289,23.86,1,1,0.92,9.6,540,114,-965,-45,973,2026-08-06-00-02.csv
7515,426587,-10,24289,23.87,1,1,0.92,9.6,540,146,-960,-55,973,2026-08-06-00-02.csv
7806,426878,-17,24289,23.86,1,1,0.92,9.6,540,126,-964,-60,974,2026-08-06-00-02.csv
8100,427172,-10,24289,23.85,1,1,0.92,9.6,540,125,-967,-40,975,2026-08-06-00-02.csv
8378,427450,-6,24289,23.87,1,1,0.0,0.0,540,130,-973,-35,982,2026-08-06-00-02.csv
8669,427741,-11,24289,23.85,1,1,0.0,0.0,540,124,-972,-51,982,2026-08-06-00-02.csv
8969,428041,-9,24289,23.87,1,1,0.0,0.0,540,125,-967,-51,976,2026-08-06-00-02.csv
9252,428324,-11,24289,23.89,1,1,0.0,0.0,540,123,-971,-56,981,2026-08-06-00-02.csv
9556,428628,-14,24289,23.87,1,1,0.0,0.0,540,128,-970,-54,980,2026-08-06-00-02.csv
9853,428925,-2,24289,23.87,1,1,0.0,0.0,540,127,-971,-50,981,2026-08-06-00-02.csv
10152,429224,-9,24289,23.87,1,1,0.0,0.0,540,132,-965,-63,976,2026-08-06-00-02.csv
10445,429517,-12,24289,23.87,1,1,0.0,0.0,540,128,-972,-56,982,2026-08-06-00-02.csv
10801,429873,-11,24289,23.86,1,1,0.0,0.0,540,130,-969,-50,979,2026-08-06-00-02.csv
11093,430165,-12,24289,23.88,1,1,0.0,0.0,540,126,-974,-42,983,2026-08-06-00-02.csv
11374,430446,-4,24289,23.86,1,1,0.0,0.0,540,118,-973,-37,981,2026-08-06-00-02.csv
11673,430745,-15,24289,23.85,1,1,0.0,0.0,540,135,-979,-56,990,2026-08-06-00-02.csv
11975,431047,-6,24289,23.87,1,1,0.0,0.0,540,134,-973,-64,984,2026-08-06-00-02.csv
12255,431327,-1,24289,23.87,1,1,0.0,0.0,540,152,-968,-45,981,2026-08-06-00-02.csv
12551,431623,-6,24289,23.86,1,1,0.0,0.0,540,123,-979,-56,988,2026-08-06-00-02.csv
12851,431923,-11,24289,23.87,1,1,0.0,0.0,540,127,-982,-20,990,2026-08-06-00-02.csv
13153,432225,-7,24289,23.86,1,1,0.0,0.0,540,79,-978,-53,983,2026-08-06-00-02.csv
13454,432526,-12,24289,23.87,1,1,0.0,0.0,540,125,-996,-27,1004,2026-08-06-00-02.csv
13752,432824,-15,24289,23.85,1,1,0.0,0.0,540,139,-951,-62,963,2026-08-06-00-02.csv
14053,433125,-11,24289,23.86,1,1,0.0,0.0,540,139,-965,-69,977,2026-08-06-00-02.csv
14321,433393,-3,24289,23.87,1,1,0.0,0.0,540,122,-972,-52,981,2026-08-06-00-02.csv
14619,433691,-14,24289,23.86,1,1,0.0,0.0,540,130,-973,-45,983,2026-08-06-00-02.csv
14924,433996,-12,24289,23.85,1,1,0.0,0.0,540,123,-971,-45,980,2026-08-06-00-02.csv
15230,434302,-7,24289,23.88,1,1,0.0,0.0,540,127,-968,-52,977,2026-08-06-00-02.csv
15595,434667,-14,24289,23.87,1,1,0.0,0.0,540,130,-973,-49,983,2026-08-06-00-02.csv
15895,434967,-15,24289,23.85,1,1,0.0,0.0,540,142,-966,-43,978,2026-08-06-00-02.csv
16195,435267,-9,24289,23.86,1,1,0.0,0.0,540,128,-971,-47,981,2026-08-06-00-02.csv
16496,435568,-13,24289,23.87,1,1,0.0,0.0,540,135,-971,-50,982,2026-08-06-00-02.csv
16796,435868,-19,24289,23.88,1,1,0.0,0.0,540,128,-974,-45,983,2026-08-06-00-02.csv
17093,436165,-9,24289,23.87,1,1,0.0,0.0,540,124,-972,-49,981,2026-08-06-00-02.csv
17377,436449,5,24289,23.87,1,1,0.0,0.0,540,128,-970,-51,980,2026-08-06-00-02.csv
17677,436749,-6,24289,23.86,1,1,0.0,0.0,540,131,-973,-46,983,2026-08-06-00-02.csv
17987,437059,-19,24289,23.86,1,1,0.0,0.0,540,131,-970,-54,980,2026-08-06-00-02.csv
18275,437347,-12,24289,23.88,1,1,0.0,0.0,540,134,-970,-48,980,2026-08-06-00-02.csv
18578,437650,-6,24289,23.84,1,1,0.0,0.0,540,129,-975,-54,985,2026-08-06-00-02.csv
18879,437951,-5,24289,23.89,1,1,0.0,0.0,540,116,-971,-53,980,2026-08-06-00-02.csv
19185,438257,-6,24289,23.87,1,1,0.0,0.0,540,127,-964,-55,974,2026-08-06-00-02.csv
19492,438564,-7,24289,23.87,1,1,0.0,0.0,540,132,-985,-32,994,2026-08-06-00-02.csv
19797,438869,0,24289,23.89,1,1,0.0,0.0,540,126,-969,-28,977,2026-08-06-00-02.csv
20113,439185,-7,24289,23.88,1,1,0.0,0.0,540,125,-975,-32,984,2026-08-06-00-02.csv
20485,439557,-7,24289,23.87,1,1,0.0,0.0,540,131,-968,-50,978,2026-08-06-00-02.csv
20789,439861,-7,24289,23.87,1,1,0.0,0.0,540,131,-975,-42,984,2026-08-06-00-02.csv
21097,440169,-11,24289,23.88,1,1,0.0,0.0,540,128,-971,-53,981,2026-08-06-00-02.csv
21389,440461,-3,24289,23.89,1,1,0.0,0.0,540,122,-971,-54,981,2026-08-06-00-02.csv
21690,440762,-7,24289,23.88,1,1,0.0,0.0,540,129,-971,-47,981,2026-08-06-00-02.csv
21997,441069,-9,24289,23.88,1,1,0.0,0.0,540,128,-972,-50,981,2026-08-06-00-02.csv
22288,441360,-3,24289,23.87,1,1,0.0,0.0,540,139,-967,-42,977,2026-08-06-00-02.csv
22597,441669,-6,24289,23.89,1,1,0.0,0.0,540,115,-979,-49,987,2026-08-06-00-02.csv
22900,441972,2,24289,23.88,1,1,0.0,0.0,540,110,-979,-55,987,2026-08-06-00-02.csv
23210,442282,-7,24289,23.87,1,1,0.0,0.0,540,126,-970,-81,982,2026-08-06-00-02.csv
23520,442592,1,24289,23.85,1,1,0.0,0.0,540,152,-962,-56,976,2026-08-06-00-02.csv
23828,442900,1,24289,23.87,1,1,0.0,0.0,540,118,-980,-20,987,2026-08-06-00-02.csv
24174,443246,5,24289,23.85,1,1,0.0,0.0,540,124,-973,-52,982,2026-08-06-00-02.csv
24471,443543,0,24289,23.84,1,1,0.0,0.0,540,124,-968,-44,977,2026-08-06-00-02.csv
24761,443833,11,24289,23.87,1,1,0.0,0.0,540,113,-961,-80,971,2026-08-06-00-02.csv
25050,444122,2,24289,23.87,1,1,0.0,0.0,540,150,-978,-47,990,2026-08-06-00-02.csv
25381,444453,16,24289,23.87,1,1,0.0,0.0,540,126,-967,-64,977,2026-08-06-00-02.csv
25664,444736,2,24289,23.87,1,1,0.0,0.0,540,129,-970,-60,980,2026-08-06-00-02.csv
25950,445022,6,24289,23.86,1,1,0.0,0.0,540,107,-975,-24,981,2026-08-06-00-02.csv
26237,445309,3,24289,23.87,1,1,0.0,0.0,540,124,-971,-45,980,2026-08-06-00-02.csv
26526,445598,3,24289,23.88,1,1,0.0,0.0,540,129,-967,-56,977,2026-08-06-00-02.csv
26816,445888,7,24289,23.9,1,1,0.0,0.0,540,138,-966,-58,978,2026-08-06-00-02.csv
