timestamp_ms,current_mA,voltage_mV,temperature_C,temperature_valid,wheel_speed_valid,wheel_speed_kmph,wheel_rpm,wheel_spoke_count,ax_x100,ay_x100,az_x100,amag_x100,gps_location_valid,gps_lat,gps_long,gps_alt_m,gps_speed_kmph,gps_hdop,gps_sats,gps_time_valid,gps_time_utc,gps_centisecond
4311367,16,24289,42.97,1,1,0.00,0.0,51283,131,-972,-55,982,1,43.6610715,-79.3949188,105.10,0.20,0.59,12,1,01:06:45,00
4311677,18,24289,43.00,1,1,0.00,0.0,51283,133,-969,-57,979,1,43.6610720,-79.3949188,105.00,0.17,0.62,12,1,01:06:46,00
4311992,10,24289,43.04,1,1,0.00,0.0,51283,130,-970,-55,980,1,43.6610720,-79.3949188,105.00,0.17,0.62,12,1,01:06:46,00
4312302,15,24289,43.06,1,1,0.00,0.0,51283,130,-970,-56,981,1,43.6610720,-79.3949188,105.00,0.17,0.62,12,1,01:06:46,00
4312617,17,24289,43.04,1,1,0.00,0.0,51283,129,-967,-60,978,1,43.6610720,-79.3949190,105.00,0.02,0.62,12,1,01:06:47,00
4312930,18,24289,43.02,1,1,0.00,0.0,51283,130,-971,-63,982,1,43.6610720,-79.3949190,105.00,0.02,0.66,12,1,01:06:47,00
4313242,6,24289,43.02,1,1,0.00,0.0,51283,132,-969,-56,980,1,43.6610720,-79.3949190,105.00,0.02,0.66,12,1,01:06:47,00
4313558,22,24289,42.97,1,1,0.00,0.0,51283,130,-971,-53,981,1,43.6610718,-79.3949192,105.00,0.06,0.66,12,1,01:06:48,00
4313880,14,24289,42.99,1,1,0.00,0.0,51283,133,-972,-54,982,1,43.6610718,-79.3949192,105.10,0.06,0.62,12,1,01:06:48,00
4314196,12,24289,43.00,1,1,0.00,0.0,51283,134,-971,-55,982,1,43.6610718,-79.3949192,105.10,0.06,0.62,12,1,01:06:48,00
4314512,25,24289,43.02,1,1,0.00,0.0,51283,131,-971,-57,981,1,43.6610718,-79.3949193,105.10,0.04,0.62,12,1,01:06:49,00
4314830,16,24289,43.00,1,1,0.00,0.0,51283,116,-981,-60,990,1,43.6610718,-79.3949193,105.10,0.04,0.62,12,1,01:06:49,00
